000000 |  7.0044 -19.4355 -14.266 4.65618 -1.79311 -4.77425 -21.1868 14.0522 2.00789 4.68633 4.34722 6.14639 -18.994 -12.3101 8.64559 0.873653 6.99496 3.25342 24.7098 1.88593 -9.06452 -6.02284 7.89921 1.57065 -6.39005 8.4677 0.112582 -0.176876 -6.10866 -1.35978 7.78427 -0.871062 11.3794 3.01842 -3.13901 -3.65352 |
000001 |  6.84957 -18.6122 -14.0036 4.45147 -1.80764 -4.65452 -20.4216 14.0492 1.76918 4.33084 3.62361 6.10907 -18.7995 -11.033 8.81493 1.22359 6.15809 2.92719 23.0617 1.70904 -8.33225 -5.03865 7.90008 1.06479 -6.53542 7.2422 -0.0416344 0.15603 -5.15968 -1.29184 8.20433 -1.71057 10.8014 2.51046 -2.37307 -3.16679 |
000002 |  6.35871 -16.237 -13.2029 4.04657 -1.82318 -4.37747 -18.4229 13.9219 1.16454 3.37014 1.79432 5.98235 -18.119 -7.55604 9.21155 2.11143 3.83231 2.04946 18.6147 1.23385 -6.4051 -2.37961 7.82074 -0.300222 -6.79725 3.97539 -0.49203 1.06636 -2.48373 -1.08897 9.00772 -4.04727 9.36108 1.15537 -0.437734 -1.8911 |
000003 |  5.4311 -12.6 -11.9036 3.50964 -1.82422 -3.97772 -15.4905 13.1687 0.283212 2.07284 -0.533412 5.71074 -16.5901 -2.72867 9.52073 3.07217 0.785912 0.961654 12.4313 0.745667 -3.81845 0.969866 7.44389 -2.00586 -6.79149 -0.300587 -1.16914 2.07779 0.866454 -0.80072 9.87012 -6.98624 7.45566 -0.547864 1.96104 -0.258061 |
000004 |  3.97286 -8.1134 -10.1615 3.03609 -1.77951 -3.54258 -12.1218 11.3218 -0.706149 0.765914 -2.59287 5.25435 -13.8722 2.34515 9.40319 3.60348 -2.13689 0.0430774 5.90919 0.498349 -1.2762 3.93444 6.56179 -3.49098 -6.07499 -4.32703 -1.972 2.73626 3.85595 -0.475702 10.1699 -9.59996 5.68635 -2.04813 3.97683 1.22916 |
000005 |  1.92631 -3.14874 -8.03234 2.78255 -1.64544 -3.13959 -8.70822 8.13838 -1.67829 -0.301297 -3.88402 4.59931 -9.74017 6.70967 8.55337 3.31457 -4.15884 -0.379006 0.187518 0.635681 0.682791 5.63265 5.07335 -4.30665 -4.3746 -7.11507 -2.79936 2.69635 5.60916 -0.168738 9.52472 -11.1369 4.4724 -2.89915 4.95304 2.16371 |
000006 |  -0.60696 1.79325 -5.66445 2.79723 -1.41514 -2.80522 -5.61909 3.66791 -2.52154 -0.927078 -4.04717 3.77382 -4.37564 9.71588 6.91806 2.10554 -4.89148 -0.168068 -3.9589 1.14326 1.69648 5.5899 3.0178 -4.22027 -1.74234 -8.08186 -3.49994 1.82737 5.68885 0.0852807 7.79173 -11.1349 4.06232 -2.86603 4.55793 2.31927 |
000007 |  -3.42892 6.30831 -3.24492 3.04446 -1.08992 -2.5408 -2.94482 -1.65411 -3.18807 -1.06295 -3.12118 2.83246 1.82078 11.0953 4.60715 0.117456 -4.27614 0.650555 -6.29351 1.97231 1.70816 3.8027 0.557634 -3.24593 1.60567 -7.16667 -3.98567 0.223892 4.105 0.258127 5.14116 -9.60319 4.39933 -1.98438 2.87879 1.71483 |
000008 |  -6.24318 10.079 -0.965406 3.39993 -0.694074 -2.31263 -0.67874 -7.1451 -3.64411 -0.80166 -1.44081 1.8412 8.14342 11.0075 1.93748 -2.27418 -2.66805 1.85606 -7.09869 2.92708 0.903904 0.790213 -2.04543 -1.65904 5.18168 -4.85938 -4.17861 -1.80064 1.40256 0.350314 1.98111 -6.93086 5.22503 -0.523042 0.368296 0.590145 |
000009 |  -8.74634 12.8833 1.00327 3.69025 -0.265372 -2.06466 1.38039 -11.9412 -3.87745 -0.356591 0.421967 0.843351 13.7496 10.0003 -0.60596 -4.52493 -0.742984 3.07443 -7.17491 3.81579 -0.282988 -2.50773 -4.50311 0.0754237 8.37846 -2.10763 -4.05147 -3.78318 -1.49425 0.379969 -1.06732 -3.86231 6.0512 1.04757 -2.19598 -0.61449 |
000010 |  -10.6543 14.6088 2.52098 3.76783 0.161013 -1.7503 3.49418 -15.2079 -3.87324 -0.000571162 1.83677 -0.151723 17.8027 8.8184 -2.47579 -6.0589 0.679458 3.85907 -7.52054 4.42303 -1.32172 -4.9375 -6.54792 1.41437 10.5767 -0.0368905 -3.60294 -5.21763 -3.48429 0.376379 -3.3634 -1.27586 6.3306 2.19716 -3.95912 -1.39304 |
000011 |  -11.7892 15.2041 3.50858 3.55662 0.555378 -1.3492 5.83673 -16.3842 -3.57563 0.0509274 2.34659 -1.16458 19.7013 8.06999 -3.2456 -6.45234 0.967526 3.84657 -8.95324 4.62315 -1.8313 -5.58262 -8.00939 1.95506 11.3384 0.490077 -2.8631 -5.72839 -3.73047 0.35691 -4.42437 0.147343 5.66094 2.53268 -4.27552 -1.36106 |
000012 |  -12.1667 14.6472 3.97723 3.06679 0.890042 -0.87849 8.44441 -15.4064 -2.9735 -0.2597 1.85893 -2.21475 19.2579 7.93528 -2.75791 -5.62293 0.00201516 2.93347 -11.657 4.34189 -1.73712 -4.16998 -8.82779 1.61033 10.5752 -0.666236 -1.83623 -5.23684 -2.07872 0.31814 -4.14196 0.281859 3.96426 1.96549 -2.99652 -0.428218 |
000013 |  -11.8607 12.9605 3.98219 2.52326 1.18924 -0.449535 10.9493 -12.5597 -2.00834 -0.828255 0.678982 -3.28002 16.7745 7.94018 -1.25209 -3.79921 -1.86352 1.279 -15.0188 3.73321 -1.29558 -1.20275 -9.00986 0.641733 8.51661 -2.88446 -0.519184 -3.9966 0.87264 0.239871 -2.83221 -0.508061 1.52328 0.798366 -0.615858 1.0961 |
000014 |  -11.1203 10.3381 3.68512 2.01628 1.43082 -0.104879 13.1405 -8.63897 -0.834106 -1.39266 -0.668 -4.29911 12.8297 7.38079 0.832666 -1.51706 -3.80925 -0.672116 -17.9668 2.87945 -0.954648 2.25197 -8.64766 -0.457037 5.81808 -5.06522 1.00943 -2.42829 4.07232 0.0863416 -1.15135 -1.43424 -1.05314 -0.502231 2.09263 2.73486 |
000015 |  -10.0309 6.89878 3.16543 1.71621 1.62663 0.0690295 14.5317 -4.44801 0.487669 -1.67164 -1.57639 -5.16304 8.23151 5.62376 2.92012 0.647522 -5.02163 -2.42223 -19.4063 1.80313 -1.19008 5.10511 -7.85083 -1.2299 2.99909 -6.12593 2.71565 -0.987599 6.47776 -0.147534 0.297103 -1.72768 -3.18656 -1.44529 4.29375 3.97459 |
000016 |  -8.73667 2.83848 2.51732 1.69857 1.75806 0.0279862 14.7913 -0.623568 1.85035 -1.47212 -1.62393 -5.76625 3.69605 2.28497 4.51399 2.23145 -4.96936 -3.56855 -18.6902 0.593446 -2.21219 6.5692 -6.73332 -1.37623 0.545577 -5.36349 4.50331 -0.0301342 7.33784 -0.449818 1.0623 -0.879787 -4.49167 -1.67587 5.37256 4.44564 |
000017 |  -7.26352 -1.55991 1.81701 1.95621 1.80199 -0.223906 13.7705 2.43981 3.16668 -0.745865 -0.667497 -6.03929 -0.249308 -2.55913 5.3231 2.9837 -3.50399 -3.90114 -15.6581 -0.658011 -4.02041 6.29866 -5.41338 -0.793528 -1.22044 -2.63663 6.22873 0.288523 6.42404 -0.789077 0.878441 1.23914 -4.77868 -1.07296 5.07482 4.01288 |
